element,name,desc,tooltip,type,value,restrict,multiple,example1,example2,example3,example4
1A,1A_1,Study category,"What is the goal of my study (detect known compounds, quantification, detect suspected compounds, discovery, etc.)? Is the goal of the study prioritization and/or identification?",list,Sample Categorization;Compound Discovery;Differential Analysis;Complete characterization;Method development/optimization;Performance testing,NA,TRUE,Suspect identification (with possible differential analysis with blank sample),,,extrainformation
1A,1A_2,Intended method usage,Will the method be used routinely or for emergency (ad hoc) analyses?,list,Routine;Emergency,NA,FALSE,For this lab it is a routine method (use the same method for all of the samples),,,extrainformation
1A,1A_3,Purpose of study,"Is the study intended to be hypothesis generating or exploratory? This can limit the scope of the work, but may require less QA/QC.",textarea,describe study purpose,NA,NA,Confident identification with the opportunity to have confirmation by a standard.,,,extrainformation
1A,1A_4,Study results impact,Are there regulatory implications for your findings?,list,Yes;No;Maybe,NA,FALSE,"No, but maybe (there might be implications with a follow-up analysis). Negative results could be relevant.",,,extrainformation
1A,1A_5,Target audience,Who is the target audience for the results of this work? How will results be communicated to the audience?,text,state the target audience,NA,FALSE,Police officer / general public authority,,,extrainformation
1B,1B_1,Quantitative analysis,Determine if your intend on doing quantitative analysis  with study or retrospectively.,list,Yes;No;Maybe,NA,FALSE,No quantitative analysis with samples (will do targeted analysis separately if needed),,,extrainformation
1B,1B_2,Study type,"Categorize your study as non-targeted, suspect screening, and/or targeted approach. Studies can be a combination of both. ",list,suspect screening analysis; non-targeted analysis; targeted analysis,NA,TRUE,suspect screening,,,extrainformation
1B,1B_3,Chemical Space,Consider your intended chemical space using the ChemSpace Tool or other approaches,textarea,describe the intended chemical space,NA,NA,"LC-ESI-MS in pos/neg mode, most coverage for general pesticides and drugs",,,extrainformation
1B,1B_4,Detection/Quantitative Sensitivity,What is the limit of detection/quantitation/identification of the method? How will it be defined? Is the limit of detection/quantitation/identification appropriate to answer the question?,textarea,describe general scope of limits of detection,NA,NA,Will use three levels of QC samples to determine approximate limit of detection for method,,,extrainformation
1B,1B_5,General identification workflow,How will compounds be identified? With in silico and empirical data be used to interpret chemical structure (true non-targeted analysis) or will chemical lists or databases (including mass spectral libraries) be used (suspect screening analysis)?,textarea,define how chemicals will be identified,NA,NA,compounds will be identified solely by MS Library,,,extrainformation
2A,2A_1,Physical state of sample,"Will your study consider more than one physical state of sample (liquid, gas, solid)? Consider how selecting more than one state may impact your sampling plan, quality control protocols, and chemical space.",list,solid;liquid;gas,NA,TRUE,solid,,,extrainformation
2A,2A_2,Quantity of sample,How much material of each sample do I have?  ,text,"estimate quantity (e.g., 1 g samples)",NA,NA,5 - 10 g total,,,extrainformation
2A,2A_3,Spatial/temporal/case of samples,"How are your samples going to differ? Can you adequately acquire samples of different space, time, and/or case with statistical certainty? ",textarea,enter text,NA,NA,Samples will be unknown until incidences (wide range of matrices),,,extrainformation
2A,2A_4,Sample usage,"How are samples being used? (e.g., for method development, compound ID, QA/QC, etc).",text,enter text,NA,NA,compound ID,,,extrainformation
2A,2A_5,Sample replicates,"Can I do replicate analysis? How many replicates can I obtain? Consider which types of replicates (individual field replicates, composited field replicate that's split later in lab, analytical replicates) are most appropriate for the study design (depending on sample availability, analytical run-time, what variability the replicates represent, etc.)",list,Yes;No;Maybe,NA,FALSE,"Yes, I need to do at least 3 extractions using 70 % of the sample (reserving leftovers for subsequent analysis). Only extraction replicates of the tested sample will be done (no splits or analytical replicates).",,,extrainformation
2B,2B_1,Blank/background sample,"Can you acquire a ""blank"" matrix during sampling? ",list,Yes;No;Maybe,NA,FALSE,"Yes. If available, we will purchase a version of the food product (mashed potatoes) from the grocery store.",,,extrainformation
2B,2B_2,Replicate sampling,What types of replicates are being collected?,text,enter text,NA,NA,No replicate sampling,,,extrainformation
2B,2B_3,Sampling bias,Have you considered the strengths/limitations of your sample collection and other sample handling approaches with respect to any specific classes of compounds of interest?,list,Yes;No;Maybe,NA,FALSE,"Sampling bias is limited to police collection procedure, potential sources of contamination are possible.",,,extrainformation
2B,2B_4,Sampling metadata,"How will you record and store all relevant information with respect to how samples are collected, handled, and stored? Do you know what metadata about the samples will be useful in the study? Report sample collection equipment, sample collection methods, sample handling/storage as the ""original sample"" and as the ""processed/extracted sample (time before processing, temperature, contact with what materials, use of gloves). Consider which of these steps might introduce contamination or require additional QA/QC (for example, if chemical sorption to containers might happen during storage)",textarea,enter text,NA,NA,"All sampling, storage, and transfer processes will be managed through a police chain-of-custody form",,,extrainformation
2B,2B_5,Spatial/Temporal/Case sampling,Will your sampling plan answer your question? Sample upstream and downstream the same time,list,Yes;No;Maybe,NA,FALSE,"Maybe. Grab sampling of the food in question, no specific sampling plan will be used. We will ask police to stir food before grab sampling.",,,extrainformation
2B,2B_6,Sources of contamination,"Have you considered if your blanks/controls/sampling account for contamination/background that is appropriate for the questions you are trying to answer? (whether considering a small or larger group of chemicals). Consider also whether/how the blank samples will be used for data reduction or other QA/QC. For example, are the containers being used an appropriate material for contaminants of interest? Has this been evaluated systematically?",list,Yes;No;Maybe,NA,FALSE,"An empty sample container (evidence bag) will be included, but no other blank or sampling materials will be available.",,,extrainformation
2B,2B_7,Sample hold time and preservation,How long will the samples be held until analysis? How will your samples be preserved? What considerations must be made to prevent chemical degradation within the sample? How might sample preservation affect chemicals within the sample (within and outside of your chemical space)?,textarea,enter text,NA,NA,"Samples must be analyzed within 1 week, so hold time is estimated to less than 1 week.",,,extrainformation
2B,2B_8,Samples to be collected,"What types of samples will be collected? What mass, volume, or other quantity of the sample will be collected? Will the sample be a single grab or a mixture of multiple grab samples?",textarea,enter text,NA,NA,A single grab sample will be collected from a mixed source material.,,,extrainformation
3A,3A_1,Spike chemical identity,What chemicals will be spiked onto samples or in solutions? Should they consist of heavy isotope enriched elements (isotopically-labeled)?,textarea,enter text,NA,NA,"Blank matrix (if available) will be spiked with our commercially available pesticide/drug mixture. If no blank is available, extraction solvent will be spiked with QC chemicals.",,,extrainformation
3A,3A_2,Spike chemical(s) concentratrions,,textarea,enter text,NA,NA,Spike levels will be over 2 orders of magnitude with the lowest level being near the expected LOD for all chemicals  (estimated 0.01 ug/g),,,extrainformation
3A,3A_3,Spike chemical solution solvents,,textarea,enter text,NA,NA,"Spike solution will be in methanol, but spike mass added will be less than 0.1 % of the sample mass.",,,extrainformation
3A,3A_4,Spike timing,When do you want to spike the sample with the QC spike during the method? Over the samples prior to ,textarea,enter text,NA,NA,QC spike will be added 1 - 1.5 hours before extraction.,,,extrainformation
3B,3B_1,Sample matrix,Is the matrix the same as the studied samples? How are the properties or composition of the QC sample(s) different from the studied samples?,textarea,enter text,NA,NA,"As there are not expected to be contaminants in most commercially-available food materials, QC samples will not be used, rather QC spikes (Element 3A) will represent this role.",,,extrainformation
3B,3B_2,Chemical composition,"What are the identities and concentrations of known chemical components in the QC sample, including the identification confidence level associated with the compounds.",textarea,enter text,NA,NA,Matrix samples are not expected to contain chemicals of interest and therefore will only be used to remove background/blank signals.,,,extrainformation
3B,3B_3,Sample creation,How will you acquire or create the QC sample? Will it be a pooled collection of the studied samples? Are there reference materials available for purchase that couldl be used? ,textarea,enter text,NA,NA,Material will consist of a grab sample of one or more commercially available food products from the grocery store.,,,extrainformation
3C,3C_1,Type(s) of blanks,"There are a wide variety of blanks, what types will be used for this study to evaluate background compounds?",textarea,enter text,NA,NA,"Evidence bag blank (sampling blank), matrix blank (QC Sample), extraction blank, and solvent blanks will all be used.",,,extrainformation
3C,3C_2,Potential sources of contamination,What are some sources of chemical contamination that can occur during your sample processing and analysis methods? Do you have blanks to accommodate for all sources of contamination?,textarea,enter text,NA,NA,"Contamination could occur during sampling, storage, and extraction. We cannot accommodate for source of contamination during sampling.",,,extrainformation
3C,3C_3,Matrix blank,Is it possible to acquire a matrix sample that contains none of the chemical compounds of interest for this study?,textarea,enter text,NA,NA,"If commercially available, we will procure a food from the grocery store that closely matches the matrix of interest (frozen mashed potatoes). If possible, we will acquire more than one brand/lot to make sure to include natural variability.",,,extrainformation
3D,3D_1,Standard composition,What is the solvent composition of the calibration standards? How will this impact the comparison to the studied samples?,textarea,enter text,NA,NA,"Spike solutions will consist of a 250 pesticide/drug mix in methanol. As the spiked samples will be less than 0.1 % methanol, we do not perceive there to be an issue with solvent effects.",,,extrainformation
3D,3D_2,Timing of standards,Will the calibration standards be extracted during the sample preparation step?,textarea,enter text,NA,NA,Spiked QC samples and the spiked standard will be extracted during the sample prep step,,,extrainformation
3D,3D_3,Calibration compounds,What chemical identities and concentrations will be used in the calibration compounds? Will there be more than one standard with differing chemical identities and concentrations?,textarea,enter text,NA,NA,Concentration levels will be over 2 orders of magnitude with the lowest level being near the expected LOD for all chemicals  (estimated 0.01 ug/g),,,extrainformation
3D,3D_4,Internal standards,Will internal standards be used in the samples and the calibration standards? At what point will the internal standards be added to the calibration standards?,textarea,enter text,NA,NA,A single internal standard (13C labeled caffeine) will be spiked into all materials for normalization.,,,extrainformation
3D,3D_5,Matched compounds in sample,Will the calibration standards have spiked compounds in common with studied samples?,textarea,enter text,NA,NA,The calibration standards will consist of 250 generally observed pesticides and drugs and may be the compound of interest.,,,extrainformation
3E,3E_1,Performance metrics,What performance or quality control metrics will you evaluate using the spiked QC solutions?,textarea,enter text,NA,NA,"True positive and false negative identification in the spiked matrix QC solution at the lowest concentration. Retention time, IS normalized peak area, MS1 isotopic pattern, and MS2 fragmentation pattern variability of the spiked compounds in the matrix and in solution.",,,extrainformation
3E,3E_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"TP = (Positive IDs) / (Total compounds spiked in sample)
FN = ((Total compounds) - (Positive IDS)) / (Total compounds)",,,extrainformation
3E,3E_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,"FP must be 80 % or greater, FN must be 20 % or less. RT must be within 0.2 min, IS-normalized peak area must be within 50 %, MS1 pattern must be greater than 0.8 with expected, and MS2 pattern must be greater than 0.5 from expected.",,,extrainformation
3F,3F_1,Performance metrics,What performance or quality control metrics will you evaluate using the QC samples?,textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3F,3F_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3F,3F_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3G,3G_1,Performance metrics,What performance or quality control metrics will you evaluate using the  blanks?,textarea,enter text,NA,NA,Reproducibility of the peak area and number of identified compounds in each blank types.,,,extrainformation
3G,3G_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"For each ID'd compound in the blank, the RSD (%) of the IS-normalized peak areas between replicate analyses will be calculated.
The mean and RSD (%) of the number of ID'd compound in each type of blank will be calculated.",,,extrainformation
3G,3G_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,"The RSD (%) of the IS-normalized peak areas must be within 50 % to be considered as present.
The RSD (%) of the ID'd compound count must be less than or equal to 30 %.",,,extrainformation
3G,3G_4,Background removal,How will the blanks be used to remove background compounds?  Will they be raw data subtraction or feature removal?,textarea,enter text,NA,NA,Feature removal - features identified in the sample must have peak area less than 10x the blank signals will be removed.,,,extrainformation
3H,3H_1,Performance metrics,What performance or quality control metrics will you evaluate using the calibrants?,textarea,enter text,NA,NA,"Linearity of the QC Spiked samples at the 3 concentration levels, and reproducibility of the IS-normalized peak areas of calibration chemicals.",,,extrainformation
3H,3H_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"RSD (%) of the IS-normalized area counts of all peaks, Correlation coefficient of of the 3-point calibration curve",,,extrainformation
3H,3H_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,Normalized area counts of all peaks must be less than or equal to 50 %. Correlation coefficient must be at least 0.9 or better for all compounds.,,,extrainformation
3H,3H_4,Quantitative calibration,How will you measure accuracy and precision of your quantitative calibration standards?,textarea,enter text,NA,NA,Reproducibility of the replicate analysis of QC spikes will be used to determine precidence,,,extrainformation
4A,4A_1,Source of sample preparation method,Do you have a citable source for your sample preparation method? Has it been peer-reviewed or otherwise validated for a non-targeted or targeted method?,list,Yes;No;Maybe,NA,FALSE,No,,,extrainformation
4A,4A_2,Sample extraction solvent,What solvent(s) will be used to extract the sample?,textarea,enter text,NA,NA,LC-MS Grade Methanol,,,extrainformation
4A,4A_3,Sample extraction technique,What extraction techniques will be used to extract the sample?,textarea,enter text,NA,NA,"Ultrasonication, centrifugation and removal of supernatant.",,,extrainformation
4A,4A_4,Extracted sample clean-up,Will the sample need to be cleaned up to reduce matrix issues? How will the sample be cleaned up? Will it be chemical (SPE) or physical (filtering) clean-up?,textarea,enter text,NA,NA,Filtration with 0.2 um nylon filter,,,extrainformation
4A,4A_5,Sample extract hold time and preservation,How long will the sample be held prior to analysis? Will all compounds be stable within the sample extract for this designated amount of time? Will additional chemical (Sodium Azide) or treatment (freezing) steps be used to preserve the sample integrity?,textarea,enter text,NA,NA,1 week maximum,,,extrainformation
4A,4A_6,Reporting format,"How will you report your sample preparation method? Have you planned/reported all relevant information with respect to how samples are processed/extracted and spiked? Report preparation, extraction, clean-up methods; analytical standard/internal standard/surrogate spiking details. Consider whether any of these steps require additional QA/QC (for example, preparing additional method blanks, matrix spikes, etc.)",textarea,enter text,NA,NA,Sample preparation method will be included in final results report as an Appendix. Results for QC sample performance will be included in the Appendix and be incorporated into results communication.,,,extrainformation
4A,4A_7,Method optimization,"If some of the above variables are unknown or need to be optimized for the method, you should determine the parameters and their variables and how to determine optimal method performance.",textarea,enter text,NA,NA,Method will not need optmization,,,extrainformation
4A,4A_8,Internal standards,Will internal standards be added to every sample? When should the internal standards be added to the sample during the method?,textarea,enter text,NA,NA,"13C-labeled caffeine will be spiked into all samples, blanks, and QCs",,,extrainformation
4B,4B_1,Randomization,Will the samples in the sequence be randomly assigned in the analytical sequence?,list,Yes;No;Maybe,NA,FALSE,Yes,,,extrainformation
4B,4B_2,System suitability,When and how frequently will system suitability be evaluated within an analytical sequence?,textarea,enter text,NA,NA,System suitability will be evaluated before and after each analytical sequence.,,,extrainformation
4B,4B_3,Blank frequency,How frequently will blank samples be evaluated within an analytical sequence?,textarea,enter text,NA,NA,Blank samples will occur every 1/4 of the sequence. (4 times total),,,extrainformation
4B,4B_4,QC frequency,How frequently will QC spikes and samples be evaluated within an analytical sequence?,textarea,enter text,NA,NA,QC spike samples will occur every 1/4 of the sequence. (4 times total),,,extrainformation
